Rock ID,Habitat_type,In_before,On_before,Bare_before,In_after,On_after,Bare_after,In_proportion_removed,On_proportion_removed,Bare_proportion_removed,Barnacle_before,Barnacle_after,Barnacle_proportion_removed,Split_proportion_removed,Notes
43,Bare_rock,,,8,,,5,#DIV/0!,#DIV/0!,0.625,0,0,#DIV/0!,0.625,clump affect noted again
44,Barnacle,6,16,,6,13,,1,0.8125,#DIV/0!,22,19,0.863636364,0.863636364,
45,Barnacle,7,21,,7,17,,1,0.80952381,#DIV/0!,28,24,0.857142857,0.857142857,
46,Barnacle,20,18,,20,7,,1,0.388888889,#DIV/0!,38,27,0.710526316,0.710526316,
47,Barnacle,18,10,,18,9,,1,0.9,#DIV/0!,28,27,0.964285714,0.964285714,
48,Bare_rock,,,8,,,3,#DIV/0!,#DIV/0!,0.375,0,0,#DIV/0!,0.375,two noted in seaweed before (the both stayed)
49,Bare_rock,,,5,,,1,#DIV/0!,#DIV/0!,0.2,0,0,#DIV/0!,0.2,
50,Bare_rock,,,5,,,3,#DIV/0!,#DIV/0!,0.6,0,0,#DIV/0!,0.6,
51,Bare_rock,,,7,,,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,0,
52,Bare_rock,,,15,,,9,#DIV/0!,#DIV/0!,0.6,0,0,#DIV/0!,0.6,Prior to splash 7 snails noted on ulva intestinalis (4 stayed)
53,Bare_rock,,,7,,,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,0,
54,Bare_rock,,,6,,,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,0,
55,Bare_rock,,,6,,,4,#DIV/0!,#DIV/0!,0.666666667,0,0,#DIV/0!,0.666666667,
56,Bare_rock,,,5,,,1,#DIV/0!,#DIV/0!,0.2,0,0,#DIV/0!,0.2,
57,Barnacle,6,11,,6,11,,1,1,#DIV/0!,17,17,1,1,
58,Barnacle,6,10,,6,9,,1,0.9,#DIV/0!,16,15,0.9375,0.9375,
59,Barnacle,9,8,,8,7,,0.888888889,0.875,#DIV/0!,17,15,0.882352941,0.882352941,
60,Barnacle,12,21,,12,18,,1,0.857142857,#DIV/0!,33,30,0.909090909,0.909090909,
,,,,,,,,,,,,,,,
